 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,-0.270638,4.93705,8.563019,0.143363,-0.029287,0.04212
0,-0.18211,5.116418,8.405404,0.213109,-0.06345,0.034056
0,-0.006702,5.192903,8.060221,0.09289,-0.031849,-0.043114
0,-0.34286,4.994364,8.256419,-0.003657,-0.017859,-0.072374
0,-0.459183,5.022508,8.409126,0.048068,-0.041546,-0.046907
0,0.010319,5.409079,7.922933,-0.093601,-0.028897,-0.095318
0,0.01392,5.113631,8.294332,-0.384874,0.038103,-0.224196
0,-0.719067,4.959367,8.956284,-0.333667,0.035313,-0.209616
0,-0.772948,4.941376,9.283955,-0.141669,0.003999,-0.10003
0,-0.682536,4.98425,9.154637,-0.0031,0.023225,-0.027048
0,-0.703839,4.947696,9.023,0.076726,0.021778,0.026831
0,-0.638526,4.869853,8.911337,0.16212,0.003096,0.087387
0,-0.264974,5.225766,8.822704,0.186766,0.011206,0.125156
0,0.047196,5.212898,8.343442,0.02422,0.059319,0.006433
0,-0.288001,4.848459,8.549244,-0.042749,0.076991,-0.039669
0,-0.381283,4.878652,8.406867,0.04297,0.03467,0.013285
0,-0.160641,4.927181,8.42022,0.02839,0.043081,0.022198
0,-0.228832,4.849236,8.473892,0.056755,0.056509,0.021135
0,-0.182184,4.791728,8.462443,0.105232,0.031859,0.040378
0,-0.117004,4.926081,8.426928,0.158916,0.015215,0.048008
0,-0.041513,5.02344,8.256168,0.141632,0.004887,0.043763
0,0.053518,4.907712,8.070364,0.043972,0.029974,-0.003408
0,-0.157649,4.807454,8.194335,-0.027182,0.059273,-0.037995
0,-0.128943,4.940734,8.105607,-0.095072,0.049668,-0.048051
0,-0.142535,4.78144,8.347889,-0.088732,0.007285,0.010252
0,-0.258984,4.96476,8.472122,-0.05823,0.006771,-0.032553
0,-0.150724,4.875299,8.466265,-0.013818,-0.025483,0.006648
0,-0.137679,4.912817,8.390641,0.012033,-0.027954,0.002061
0,-0.133264,4.904668,8.310098,0.007307,-0.034292,0.009736
0,-0.149598,4.919563,8.370091,-0.001146,-0.024979,-0.017615
0,-0.329241,4.867046,8.350558,0.004308,-0.016978,-0.014535
0,-0.273012,4.864773,8.26067,0.000829,-0.025159,-0.006548
0,-0.270085,4.903316,8.289463,0.009563,-0.029329,-0.00871
0,-0.263162,4.879588,8.295954,0.036237,-0.021408,-0.003218
0,-0.326406,4.834308,8.360431,0.057374,-0.020744,0.033186
0,-0.277547,4.966619,8.309008,0.068043,0.01187,0.028956
0,-0.202299,5.104515,8.272984,-0.012483,0.036539,0.022182
0,-0.271933,5.161981,8.431082,-0.115089,0.05013,-0.038472
