 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,-0.271324,4.962282,8.576822,0.005694,0.031708,0.009181
0,-0.214023,5.03279,8.372679,-0.006261,0.044745,-0.004201
0,-0.178673,4.991219,8.398717,-0.036327,0.038251,-0.027054
0,-0.299898,5.003257,8.554438,-0.029586,0.020727,-0.034032
0,-0.445367,5.000789,8.692094,0.002706,0.033339,-0.027808
0,-0.460455,4.983704,8.633071,0.020362,0.041018,0.003705
0,-0.299291,5.003023,8.511703,0.016662,0.036881,0.004184
0,-0.337072,4.987077,8.647084,0.019167,0.014921,0.001574
0,-0.45698,5.010385,8.685963,0.061307,-0.002061,0.01427
0,-0.313236,5.053745,8.461435,0.056502,0.004204,0.013606
0,-0.193246,5.027307,8.335505,0.021707,0.024802,-0.009406
0,-0.248805,5.014188,8.33516,0.022207,0.009451,-0.013708
0,-0.298226,4.987056,8.364524,0.034887,-0.001263,-0.012391
0,-0.277134,5.010415,8.266851,0.040147,-0.007202,-0.003947
0,-0.255705,4.930687,8.221775,0.005035,0.017417,-0.02663
0,-0.419405,4.850806,8.374069,-0.011856,0.007762,-0.025207
0,-0.5505,4.855917,8.487271,-0.007615,0.00905,-0.014608
0,-0.568152,4.816669,8.482874,0.020125,0.001976,0.020139
0,-0.464495,4.80753,8.43442,0.013888,0.009371,0.022927
0,-0.492727,4.810231,8.451365,0.013627,0.012872,0.032492
0,-0.430729,4.899033,8.458085,0.006865,0.006926,0.033007
0,-0.360799,4.90636,8.463264,-0.012375,0.021799,0.019582
0,-0.363893,4.958683,8.414422,-0.014331,0.017689,0.016374
0,-0.27271,4.989853,8.454499,-0.015933,0.017079,0.017615
0,-0.296742,5.023009,8.500888,-0.005888,0.015856,0.017805
0,-0.191131,5.050852,8.434095,0.007265,0.000759,0.005898
0,-0.217441,5.044433,8.433862,0.016262,-0.005744,-0.007132
0,-0.301373,5.085969,8.401864,0.023631,-0.005019,-0.012889
0,-0.36814,5.065077,8.426046,0.000508,0.017031,-0.021908
0,-0.352495,5.000221,8.417187,-0.005466,0.002659,-0.034987
0,-0.38965,5.029853,8.551969,-0.006009,-0.007803,-0.041795
0,-0.521435,4.983429,8.536629,0.025996,-0.012266,-0.036921
0,-0.494259,4.981901,8.452569,0.024741,0.000797,-0.020531
0,-0.484465,4.943303,8.429281,0.022895,0.014119,-0.009463
0,-0.464461,4.974754,8.526093,0.037442,0.018795,-0.012634
0,-0.390514,5.0046,8.410003,0.037979,0.013869,-0.016652
0,-0.396869,4.914781,8.30046,0.022461,0.006486,-0.03245
0,-0.508081,4.898073,8.206031,0.033155,-0.035195,-0.015314
