 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,-0.720498,6.100465,7.535811,0.011862,-0.047058,-0.047162
0,-0.737004,6.122506,7.587613,0.002749,-0.030457,-0.066743
0,-0.834769,6.065059,7.626841,0.00267,-0.016317,-0.075177
0,-0.863273,6.069027,7.573283,0.013797,-0.015987,-0.072508
0,-0.893145,6.055473,7.526223,0.015075,-0.025634,-0.061182
0,-0.890268,6.092812,7.511315,0.020778,-0.023431,-0.044924
0,-0.93724,6.076781,7.393286,0.022567,-0.01485,-0.027752
0,-0.849768,6.079812,7.374588,-0.01588,-0.015785,-0.010117
0,-0.809328,6.142477,7.449295,-0.032249,-0.006722,0.00839
0,-0.688816,6.195722,7.530863,-0.049388,0.000473,0.01242
0,-0.621952,6.270119,7.6537,-0.04987,0.00308,0.006951
0,-0.563609,6.28329,7.667689,-0.043969,0.00349,0.002531
0,-0.457172,6.285794,7.7225,-0.033394,0.005574,0.000981
0,-0.493448,6.255035,7.637659,-0.014901,0.019746,-0.00481
0,-0.468374,6.1742,7.548056,-0.008532,0.012669,-0.007455
0,-0.514585,6.11601,7.492962,-0.005722,0.002675,-0.012534
0,-0.542367,6.097886,7.382546,-0.006116,-0.013748,-0.013266
0,-0.618435,6.078984,7.367673,-0.022353,-0.032211,-0.019487
0,-0.719915,6.095267,7.440481,-0.024437,-0.040789,-0.021137
0,-0.740879,6.10279,7.519634,-0.039112,-0.047186,-0.024697
0,-0.765433,6.078853,7.743137,-0.057368,-0.04056,-0.033951
0,-0.766271,6.101735,7.823003,-0.054047,-0.039444,-0.028903
0,-0.726185,6.096751,7.838305,-0.037481,-0.049318,-0.013574
0,-0.697049,6.086344,7.829469,-0.024509,-0.06611,0.002083
0,-0.683411,6.124687,7.882179,-0.001195,-0.086584,0.021508
0,-0.630845,6.112583,7.746331,0.031929,-0.113891,0.029101
0,-0.629749,6.121439,7.585013,0.047857,-0.134955,0.034395
0,-0.664336,6.09088,7.472988,0.046241,-0.122253,0.029491
0,-0.622837,6.138032,7.374235,0.019622,-0.09049,0.031848
0,-0.594127,6.141817,7.444608,-0.008039,-0.064097,0.009391
0,-0.65072,6.089723,7.514853,-0.022965,-0.038093,-0.006079
0,-0.728742,6.111576,7.724368,-0.038922,-0.036153,-0.006468
0,-0.748725,6.162238,7.807739,-0.030068,-0.043063,-0.012147
0,-0.785289,6.141918,7.805867,-0.019532,-0.03697,-0.008805
0,-0.817886,6.158755,7.789652,-0.014027,-0.027244,-0.002192
0,-0.814584,6.16149,7.854873,0.004347,-0.005023,0.009515
0,-0.71838,6.206356,7.667136,0.011344,0.005276,-0.001552
0,-0.672762,6.145516,7.574188,0.00194,0.005045,-0.016435
0,-0.751345,6.12832,7.558734,0.006367,3.5e-05,-0.014671
0,-0.765595,6.122302,7.534941,0.016057,-0.001043,-0.000921
0,-0.741371,6.116877,7.521456,0.023198,0.005688,0.018058
0,-0.701861,6.14826,7.387909,0.012804,0.013368,0.019304
0,-0.770104,6.087188,7.480491,-0.003026,0.008213,0.015416
0,-0.802352,6.15569,7.595834,-0.00061,0.004385,0.022922
0,-0.800463,6.156352,7.595497,0.008538,0.001931,0.033976
0,-0.704718,6.199204,7.626718,-0.008041,-0.006382,0.029987
0,-0.668751,6.193551,7.79221,-0.011775,-0.011092,0.022452
0,-0.714635,6.192914,7.888262,-0.002798,-0.000229,0.026306
0,-0.682618,6.225839,7.926865,0.013071,0.006671,0.043113
0,-0.537127,6.230278,7.921961,0.02664,0.012538,0.033222
0,-0.491572,6.154276,7.833619,0.046593,0.008195,0.022142
0,-0.49309,6.153564,7.699705,0.071098,0.001487,0.024459
0,-0.424108,6.128558,7.463986,0.082765,-0.005699,0.021098
0,-0.36362,6.047867,7.249641,0.054791,0.012303,-0.007653
0,-0.511743,6.002581,7.1813,0.029723,0.034061,-0.03692
0,-0.645848,5.980179,7.130543,0.009449,0.029954,-0.039822
0,-0.814004,5.916514,7.131158,-0.00627,0.021308,-0.013649
0,-0.7058,5.952889,7.104986,-0.044922,-0.000991,-0.023322
0,-0.808127,5.926432,7.242177,-0.067485,-0.008393,-0.037236
0,-0.95924,5.999883,7.411839,-0.082428,0.001186,-0.020768
0,-1.030941,6.05006,7.657887,-0.073091,0.018274,0.005024
0,-0.863472,6.13163,7.784974,-0.072282,0.028079,0.021742
0,-0.829115,6.196625,7.880187,-0.067958,0.026154,0.022069
0,-0.820809,6.249033,7.928546,-0.044369,0.016271,0.03979
0,-0.770526,6.278082,7.975601,-0.020346,0.017965,0.054506
0,-0.666721,6.301767,7.908623,-0.012271,0.031854,0.055361
0,-0.583978,6.267423,7.90336,-0.010474,0.038244,0.032301
0,-0.616498,6.276213,7.802946,0.012489,0.035444,0.028668
0,-0.667945,6.284781,7.630212,0.041725,0.032141,0.046753
0,-0.573753,6.253157,7.449747,0.04566,0.023511,0.05376
0,-0.578702,6.217416,7.395642,0.02748,0.033359,0.035304
0,-0.574462,6.214419,7.441881,-0.008245,0.044227,0.006778
0,-0.668166,6.137164,7.601087,-0.018093,0.042684,-0.010884
0,-0.764075,6.097058,7.634617,-0.007413,0.027437,-0.002546
0,-0.758493,6.095955,7.746582,0.001677,0.018706,0.01926
0,-0.670491,6.148428,7.86037,-0.001467,0.027369,0.013863
0,-0.68231,6.134747,7.819294,0.00997,0.041091,-0.014048
0,-0.741814,6.061879,7.657098,0.020501,0.04003,-0.006407
0,-0.735908,6.04607,7.555835,0.016708,0.033966,0.008194
0,-0.744465,6.051727,7.506993,0.01423,0.049267,0.028805
0,-0.71904,6.031705,7.347381,0.003435,0.04229,0.034493
0,-0.713764,6.027587,7.394683,-0.012074,0.028798,0.033601
0,-0.715264,6.015266,7.531271,-0.005769,0.036773,0.028943
0,-0.761459,6.004927,7.544048,-0.00271,0.044047,0.038843
0,-0.762346,6.004752,7.544098,-0.010903,0.052731,0.059108
0,-0.728135,6.028885,7.566475,-0.011679,0.04956,0.059018
0,-0.661171,6.059224,7.617963,-0.015167,0.040446,0.059538
0,-0.626251,6.082499,7.641089,-0.021428,0.037832,0.047022
0,-0.540049,6.084964,7.689236,-0.040462,0.046405,0.008585
0,-0.611411,6.096945,7.709278,-0.035228,0.052141,-0.014641
0,-0.670616,6.066593,7.61871,-0.028681,0.045456,-0.005486
0,-0.626857,6.095515,7.665599,-0.021277,0.037966,-0.001238
0,-0.590817,6.110435,7.672032,-0.028606,0.034385,-0.006277
0,-0.624832,6.122445,7.702835,-0.026833,0.043861,-0.023029
0,-0.720843,6.09701,7.664384,-0.013706,0.039854,-0.016909
0,-0.650447,6.137711,7.692123,-0.009303,0.025489,-0.002997
0,-0.558892,6.146757,7.58573,-0.01295,0.020482,-0.030238
0,-0.643453,6.110393,7.576821,-0.015113,0.024374,-0.045527
0,-0.800447,6.093568,7.537828,-0.014624,0.028324,-0.031111
0,-0.81364,6.121154,7.50224,-0.021632,0.030895,-0.021906
0,-0.774721,6.070192,7.558867,-0.027228,0.03091,-0.013412
0,-0.722647,6.112819,7.646823,-0.02619,0.030505,-0.006483
0,-0.752806,6.143047,7.670786,-0.026812,0.028252,-0.007913
0,-0.705309,6.102178,7.704143,-0.041015,0.02068,-0.020475
0,-0.725297,6.119438,7.759182,-0.039926,0.026517,-0.024209
0,-0.759315,6.130235,7.79063,-0.034109,0.035742,-0.01986
0,-0.743125,6.14513,7.791669,-0.02275,0.038712,-0.013329
0,-0.736746,6.131945,7.822552,-0.009949,0.029447,-0.015006
0,-0.767271,6.115152,7.711352,0.000439,0.029729,-0.013955
0,-0.739014,6.118396,7.675789,-0.005818,0.020893,-0.01585
0,-0.790402,6.132732,7.698853,-0.002628,0.023335,-0.017416
0,-0.777559,6.110819,7.646877,-0.007803,0.022936,-0.011386
0,-0.767133,6.116746,7.670542,-0.006488,0.014644,-0.014552
0,-0.7901,6.098248,7.6716,-0.004876,0.007647,-0.00721
0,-0.73058,6.130223,7.611753,-0.007514,0.005702,-0.009381
0,-0.7048,6.099017,7.655141,-0.015236,-0.002331,-0.015754
0,-0.709061,6.122847,7.66691,-0.01104,-0.004627,-0.027251
0,-0.760727,6.115638,7.632557,-0.008264,-0.008877,-0.022205
0,-0.684152,6.085116,7.581689,-0.012348,-0.019711,-0.03633
0,-0.664063,6.057087,7.578674,-0.030619,-0.024459,-0.058254
0,-0.735456,6.050435,7.604934,-0.030936,-0.030615,-0.072471
0,-0.845374,5.982996,7.621615,-0.021215,-0.033975,-0.058469
0,-0.880907,5.999357,7.605037,-0.019269,-0.025998,-0.035869
0,-0.909669,6.011725,7.635588,-0.017282,-0.020265,-0.005384
0,-0.858209,6.016352,7.671987,-0.01376,-0.010266,-0.007084
0,-0.876307,6.017575,7.732142,-0.018259,-0.009278,-0.006084
0,-0.881319,6.023061,7.750786,-0.011923,-0.008366,-0.0065
0,-0.894709,6.058784,7.732536,-0.00766,-0.011156,-0.004915
0,-0.891867,6.07397,7.661673,-0.002255,-0.00635,-0.001881
0,-0.85654,6.052029,7.615863,-0.011497,-0.00133,0.006445
0,-0.84829,6.061808,7.593047,-0.020378,0.001547,0.007156
0,-0.731173,6.096783,7.681683,-0.028121,-0.006512,0.000812
0,-0.7285,6.115478,7.741433,-0.013563,0.00122,-0.00217
0,-0.712758,6.096061,7.754556,-0.003904,0.000651,-0.009199
0,-0.734414,6.077969,7.755324,0.003381,-0.007167,-0.016819
0,-0.750773,6.053176,7.738428,0.00374,-0.009308,-0.024434
0,-0.788606,6.010859,7.721862,0.013253,-0.001091,-0.022682
0,-0.805968,6.028065,7.643644,0.015525,-0.010686,-0.017664
0,-0.758956,6.058181,7.623797,0.012876,-0.012643,-0.019821
0,-0.791837,6.052753,7.593707,0.013977,-0.002792,-0.026264
0,-0.809877,6.030941,7.640962,0.006745,0.005584,-0.039466
0,-0.847951,6.051741,7.687343,-0.006846,-0.002062,-0.042643
0,-0.879644,6.021337,7.712677,-0.00735,-0.003419,-0.045362
0,-0.895847,6.013805,7.689649,0.001397,-0.002341,-0.041036
0,-0.922743,6.018312,7.636299,0.003061,0.004359,-0.028967
0,-0.940877,5.990702,7.554651,0.001277,0.009048,-0.02064
0,-0.858542,6.01902,7.547524,-0.005102,0.00897,-0.013763
0,-0.820132,5.992468,7.548967,-0.010777,0.004593,-0.022092
0,-0.88678,6.02398,7.560357,-0.01098,0.006789,-0.022229
0,-0.92601,6.022924,7.549524,-0.014697,0.003822,-0.016931
0,-0.866274,6.013263,7.551229,-0.026768,0.004209,-0.014647
0,-0.852998,6.034614,7.570616,-0.045027,0.000259,-0.037746
0,-0.932618,6.014713,7.621887,-0.046348,-0.001159,-0.042031
0,-0.986785,6.046379,7.595044,-0.056622,-0.002883,-0.036432
0,-0.8709,6.049937,7.611238,-0.075056,0.005934,-0.05343
0,-0.92101,6.035032,7.75893,-0.086511,0.015676,-0.061511
0,-0.957281,6.085943,7.863118,-0.076566,0.012415,-0.055317
0,-0.975409,6.076174,7.974292,-0.060202,0.016701,-0.04067
0,-0.984474,6.034843,7.990293,-0.026078,0.022463,-0.031634
0,-0.989404,6.028649,7.86175,-0.008117,0.033146,-0.024428
0,-0.994374,6.025821,7.796961,-0.002126,0.036229,-0.017253
0,-0.943935,5.959236,7.686866,-0.00252,0.039193,-0.003207
0,-0.911905,5.999659,7.638492,-0.011903,0.04723,0.003719
