 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,-0.953908,0.783551,9.67862,-0.007284,0.006267,0.004506
0,-0.953298,0.82552,9.670794,-0.010653,-3e-06,0.013312
0,-0.931739,0.821829,9.708774,-0.013475,0.003245,0.014455
0,-0.935033,0.896411,9.735395,-0.012207,0.007823,0.014061
0,-0.896141,0.929522,9.684642,-0.009754,0.011155,0.017648
0,-0.827238,0.934747,9.675514,-0.001287,0.003638,0.017123
0,-0.847891,0.976929,9.710283,-0.002914,-0.004799,0.002607
0,-0.861021,0.949115,9.756795,-0.013601,-0.005093,-0.013376
0,-0.906982,0.942304,9.823071,-0.01815,0.005164,-0.017479
0,-0.904004,0.950042,9.78086,-0.016055,0.01952,-0.003339
0,-0.866355,0.940536,9.737919,0.00224,0.001824,0.002685
0,-0.879965,0.996967,9.74947,0.009901,-0.0088,-0.003643
0,-0.871803,0.928801,9.761057,0.007352,-0.009343,-0.020515
0,-0.913996,0.890651,9.792728,-0.00931,0.006354,-0.031666
0,-0.963702,0.883594,9.759232,-0.016727,0.019173,-0.029533
0,-0.980169,0.81531,9.732854,-0.005704,0.012198,-0.013183
0,-0.949898,0.833502,9.686092,0.017846,-0.00388,0.003302
0,-0.948452,0.839546,9.605487,0.030328,-0.015888,0.005616
0,-0.939863,0.853261,9.662677,0.02505,-0.015966,0.003166
0,-0.949953,0.834324,9.647659,-0.003289,-0.002675,0.001522
0,-0.958422,0.858949,9.643987,-0.021259,0.007745,-0.004142
0,-0.943656,0.886533,9.616862,-0.021433,0.0091559999999999,-0.007236
0,-0.942049,0.888063,9.636078,-0.008701,-0.0006579999999999,-0.009114
0,-0.950933,0.870167,9.640261,-0.0071,-0.003344,-0.0091439999999999
0,-0.974117,0.864734,9.663949,-0.013091,-0.011541,-0.007025
0,-0.932257,0.853728,9.720934,-0.030723,-0.003933,-0.006509
0,-0.977567,0.887332,9.779577,-0.041782,0.00903,-0.009034
0,-0.954916,0.88334,9.836891,-0.037315,0.008241,-0.0094889999999999
0,-0.960217,0.869659,9.879403,-0.020725,0.002,-0.002889
0,-0.976398,0.920493,9.872128,-0.002732,-0.003999,0.008605
0,-0.919292,0.903615,9.82888,0.015296,-0.009302,0.015
0,-0.91372,0.915637,9.786532,0.014117,-0.003606,0.016842
0,-0.889128,0.921544,9.762937,0.011042,-0.002555,0.022177
0,-0.860464,0.936979,9.697077,0.006687,0.004769,0.01316
0,-0.873474,0.957349,9.655006,0.009166,0.004346,0.005833
0,-0.867361,0.928876,9.639539,0.008721,-0.007545,-0.007627
0,-0.858823,0.903254,9.643252,0.001918,-0.001327,-0.017326
0,-0.916266,0.87741,9.694311,-0.010408,0.004838,-0.02237
0,-0.935886,0.799356,9.710251,-0.008387,0.002939,-0.023503
0,-0.982145,0.796643,9.695877,-0.003912,0.004364,-0.021041
0,-0.974551,0.769982,9.699584,-0.001746,0.002576,-0.011071
0,-0.974554,0.769993,9.699582,0.003662,-0.003892,-0.006259
0,-0.984866,0.792634,9.67677,-0.00426,0.0023,0.001355
0,-0.960756,0.796191,9.653349,-0.006366,-0.00385,0.003942
0,-0.938055,0.835621,9.683578,-0.01265,0.000352,0.006428
0,-0.93972,0.870071,9.737334,-0.019325,0.002246,0.002001
0,-0.928506,0.888138,9.752593,-0.016921,-0.001784,0.001953
0,-0.921897,0.896431,9.810084,-0.014434,0.002237,0.000452
0,-0.946867,0.973367,9.799085,-0.009116,0.00523,0.000719
0,-0.913695,0.910795,9.806203,-0.0083529999999999,0.00097,0.002886
0,-0.896376,0.943901,9.798132,-0.001521,0.01074,-0.001421
0,-0.938337,0.952405,9.741377,0.003923,0.004964,-0.001707
0,-0.869769,0.91973,9.65943,0.014651,0.001482,0.003372
0,-0.921229,0.949259,9.660274,0.013628,-0.003112,-0.003348
0,-0.914483,0.92059,9.644861,0.002217,-0.011493,-0.014793
0,-0.938377,0.872557,9.676248,-0.012535,-0.0079469999999999,-0.028537
0,-0.996262,0.801984,9.735169,-0.020144,0.004065,-0.032399
0,-1.003734,0.785901,9.758451,-0.017799,0.003073,-0.016422
0,-0.968298,0.726769,9.78464,0.002241,0.001818,0.002692
0,-0.964992,0.734813,9.723276,0.0181,-0.015472,0.016042
0,-0.931028,0.712526,9.783925,0.026454,-0.014215,0.016066
0,-0.943782,0.774069,9.71509,0.013498,-0.003682,0.019954
0,-0.911222,0.79608,9.687442,-0.001195,0.013867,0.0186
0,-0.909762,0.845094,9.618226,-0.012132,0.018064,0.015528
0,-0.910902,0.886609,9.610431,-0.01434,0.016946,0.007738
0,-0.912251,0.885246,9.610429,-0.009533,0.006664,0.00473
0,-0.884113,0.894946,9.625268,-0.012029,-0.001793,0.000401
0,-0.940562,0.911003,9.668646,-0.015374,0.005699,-0.007725
0,-0.919205,0.906533,9.706692,-0.015878,-0.003139,-0.005175
0,-0.922824,0.937557,9.741421,-0.013603,-0.00062,-0.007582
0,-0.929409,0.922077,9.764761,-0.017492,-0.004882,-0.010976
0,-0.899341,0.891361,9.806534,-0.014202,-0.002205,-0.01249
0,-0.969155,0.883509,9.815741,-0.014755,0.003562,-0.013749
0,-0.941803,0.85028,9.838257,-0.003464,-0.001259,-0.001578
0,-0.963307,0.85301,9.800367,0.007133,-0.000412,-0.001767
0,-0.926804,0.8427,9.738178,0.016513,0.005425,0.004989
0,-0.941718,0.860636,9.676991,0.014195,-0.002227,0.00666
0,-0.913401,0.83371,9.618875,0.013142,-0.005302,0.0079489999999999
0,-0.919666,0.821517,9.641944,0.007722,-0.003258,-0.002693
0,-0.945423,0.814074,9.646334,-0.004065,-0.005065,-0.009398
0,-0.952866,0.756397,9.677277,-0.014407,0.000723,-0.007566
0,-0.942103,0.774501,9.692497,-0.01989,0.005799,-0.002182
0,-0.922856,0.766629,9.711407,-0.012872,-0.003367,0.002595
0,-0.939765,0.774529,9.711889,-0.010211,-0.000763,0.004189
0,-0.893794,0.775365,9.726402,-0.005389,-0.004396,0.009923
0,-0.890346,0.821185,9.737933,-0.004722,-0.001404,0.004635
0,-0.903124,0.836262,9.776588,-0.010351,0.00136,-0.003999
0,-0.911998,0.860808,9.773009,-0.01433,0.008786,-0.009016
0,-0.921336,0.884904,9.769433,-0.017827,0.009041,-0.002582
0,-0.913564,0.899782,9.765504,-0.014572,0.011015,0.001004
0,-0.881479,0.919535,9.738098,-0.007691,0.003965,-0.002407
0,-0.8949,0.934345,9.776734,-0.009442,0.004351,-0.016396
0,-0.90516,0.915886,9.780754,-0.013003,0.012572,-0.022513
0,-0.916091,0.897361,9.78471,-0.009507,0.014541,-0.026033
0,-0.952484,0.875467,9.712504,-0.001083,0.005604,-0.016363
0,-0.946671,0.846513,9.69695,0.011821,-0.004135,-0.007132
0,-0.928663,0.838795,9.69655,0.014616,-0.010301,-0.006099
0,-0.964786,0.854674,9.678105,-0.000109,0.000625,-0.016208
0,-0.951462,0.797759,9.666282,-0.018332,0.011797,-0.019882
0,-0.94481,0.726103,9.677647,-0.020295,-0.000914,-0.014954
0,-0.972019,0.752456,9.735931,-0.012251,-0.012144,-0.0122
0,-0.999039,0.740893,9.721318,0.004406,-0.011067,-0.00192
0,-0.972836,0.667345,9.65177,0.01512,-0.008636,0.017028
0,-0.936093,0.693584,9.643491,0.0080579999999999,-0.013989,0.034261
0,-0.939791,0.766604,9.651484,-0.005968,-0.006528,0.039433
0,-0.898156,0.763827,9.547344,-0.02227,0.007803,0.024262
0,-0.805043,0.767997,9.595488,-0.024975,7.3e-05,0.021921
0,-0.913499,0.849769,9.613513,-0.031081,-0.009705,0.004884
0,-0.949938,0.818155,9.603115,-0.032865,-0.005588,0.001826
0,-0.968641,0.820425,9.584749,-0.029436,-0.005041,0.008501
0,-0.920283,0.861259,9.592158,-0.03807,-0.024512,0.026611
0,-0.94635,0.917104,9.785341,-0.047224,-0.028094,0.015639
0,-0.934889,0.924258,9.862652,-0.051907,-0.012736,0.001199
0,-0.876806,0.814201,9.934398,-0.045576,-0.011802,-0.000552
0,-0.982085,0.893537,10.052669,-0.036239,-0.015544,-0.000369
0,-0.995963,0.902703,10.072626,-0.017789,-0.00111,0.00703
0,-0.995418,0.827738,9.945673,0.016906,0.006924,0.017043
0,-0.932465,0.827439,9.878892,0.035069,-0.003516,0.033795
0,-0.925823,0.885891,9.82895,0.040477,-0.010005,0.038579
0,-0.892108,0.915812,9.720699,0.034583,0.005907,0.02527
0,-0.846766,0.842009,9.688285,0.022055,0.011342,0.014221
0,-0.896855,0.875209,9.708376,0.0089409999999999,0.004302,0.012963
0,-0.900246,0.830211,9.696605,0.010788,0.001608,0.005824
0,-0.870539,0.807378,9.65734,0.026682,0.002482,0.0080979999999999
0,-0.934032,0.775548,9.650617,0.028655,-0.004551,0.006217
0,-0.901787,0.713604,9.638099,0.019183,-0.011763,0.009631
0,-0.916297,0.685466,9.665114,0.016563,-0.009223,0.008774
0,-0.978115,0.695025,9.65112,0.010662,-0.004924,0.015258
0,-0.928161,0.665292,9.630776,0.010839,-0.004125,0.021259
0,-0.911063,0.696807,9.603742,0.002938,-0.012512,0.032649
0,-0.895503,0.720315,9.638185,-0.008103,-0.016322,0.031012
0,-0.877834,0.749895,9.611336,-0.010668,-0.008647,0.030897
0,-0.855767,0.785692,9.622743,-0.014403,-0.014304,0.030577
0,-0.808955,0.825381,9.610737,-0.015311,-0.020996,0.03202
0,-0.802602,0.869604,9.622763,-0.023876,-0.025215,0.023064
0,-0.794107,0.833389,9.688134,-0.030038,-0.016668,0.013206
0,-0.808528,0.87847,9.761959,-0.03095,-0.008772,0.010887
0,-0.79865,0.891637,9.758393,-0.030227,-0.002868,0.003443
0,-0.788908,0.905385,9.754772,-0.020693,-0.007349,0.001612
0,-0.824077,0.914394,9.817342,-0.021518,-0.01636,-0.018049
0,-0.850798,0.896997,9.883473,-0.020205,-0.017016,-0.03735
0,-0.905933,0.828695,9.961365,-0.024647,0.001318,-0.04282
0,-0.966843,0.797319,9.993303,-0.013073,0.019871,-0.029847
0,-0.961543,0.774618,9.916113,0.010693,0.021226,-0.008264
0,-0.950754,0.766137,9.796527,0.045916,0.008156,0.01177
0,-0.903021,0.785688,9.668465,0.070615,-0.003573,0.016714
0,-0.921555,0.80363,9.568753,0.062207,-0.009186,0.010824
0,-0.885076,0.754772,9.513685,0.03477,-0.005161,0.003518
0,-0.891186,0.782704,9.609495,0.000984,0.010312,-0.0087069999999999
0,-0.916707,0.820192,9.625352,-0.020117,0.029817,-0.02152
0,-0.910812,0.752163,9.655398,-0.011637,0.024495,-0.019154
0,-0.926548,0.724851,9.701394,0.010322,0.008774,-0.00561
0,-0.936658,0.789429,9.751385,0.028326,0.002699,0.005862
0,-0.921651,0.823313,9.723941,0.027804,0.012894,0.010449
0,-0.863451,0.814421,9.718339,0.008012,0.026805,0.00685
0,-0.874258,0.840546,9.71452,-0.0097959999999999,0.019084,0.005145
0,-0.853196,0.879503,9.744782,-0.01299,0.007659,0.006074
0,-0.853683,0.878764,9.744806,0.000423,0.000785,-0.001096
0,-0.877456,0.875164,9.768259,0.009537,-0.004475,-0.00182
0,-0.833622,0.874846,9.763397,0.015874,-0.003564,-0.003568
0,-0.877385,0.878256,9.767988,0.010952,0.008846,-0.008717
0,-0.847896,0.896906,9.721199,0.006306,0.011076,-0.011356
0,-0.840998,0.871244,9.724642,0.004014,0.006351,-0.011875
0,-0.897802,0.889396,9.767917,0.005051,0.002775,-0.021907
0,-0.927326,0.879017,9.753024,0.007,0.010337,-0.027562
0,-0.947348,0.846008,9.760743,0.0088699999999999,0.0165,-0.023035
0,-0.939095,0.827644,9.702717,0.010267,0.016743,-0.01815
0,-0.926215,0.81587,9.682955,0.007599,0.014149,-0.019749
0,-0.967236,0.824903,9.725655,0.006834,0.016201,-0.024828
0,-0.963871,0.796268,9.70983,0.012406,0.021391,-0.02874
0,-0.975847,0.780065,9.713465,0.003203,0.023022,-0.020756
0,-0.954661,0.784487,9.689717,0.003333,0.020905,-0.012576
0,-0.98004,0.82346,9.705314,0.002444,0.014197,-0.011118
0,-0.964725,0.814269,9.704774,0.001219,0.014757,-0.010006
0,-0.942192,0.819155,9.681136,0.010685,0.008892,-0.001624
0,-0.937804,0.8701,9.711567,0.010222,0.005185,0.001654
0,-0.929378,0.887614,9.707472,0.000884,0.004495,-0.004377
0,-0.902738,0.855581,9.729812,0.001596,0.008193,-0.014758
0,-0.926468,0.894376,9.745565,0.000842,-0.000642,-0.005112
0,-0.934423,0.921325,9.741864,0.013008,-0.003199,-0.000226
0,-0.879644,0.942075,9.75216,0.023398,0.000573,0.004515
0,-0.883632,0.938061,9.713698,0.020733,-0.006462,-0.002912
0,-0.867892,0.923664,9.774643,0.008562,-0.012776,-0.019457
0,-0.908236,0.928759,9.798487,-0.002897,-0.006526,-0.034728
0,-0.961766,0.869717,9.814843,-0.004637,0.004941,-0.034143
0,-0.989495,0.81897,9.826764,0.007035,0.002416,-0.015051
0,-0.963242,0.831562,9.741827,0.019514,0.000761,0.006945
0,-0.952117,0.815879,9.683889,0.038946,-0.006528,0.015335
0,-0.91275,0.852359,9.61391,0.045536,-0.018691,0.018297
0,-0.904605,0.82741,9.598297,0.027915,-0.014802,0.007865
0,-0.963924,0.840135,9.60326,0.001182,-0.005694,-0.001844
0,-0.903163,0.827944,9.598387,-0.021113,0.001915,-0.0069
0,-0.936015,0.847274,9.618311,-0.020653,0.007841,-0.007271
0,-0.952227,0.814735,9.645609,-0.015072,-0.002269,-0.002281
0,-0.966194,0.82635,9.665241,-0.001975,-0.014923,0.002026
0,-0.97046,0.855637,9.680862,-0.002603,-0.012777,0.008047
0,-0.938338,0.869366,9.714939,-0.0095239999999999,-0.010862,0.010721
0,-0.921788,0.894934,9.768477,-0.014901,-0.003681,0.000811
0,-0.94226,0.934971,9.803617,-0.019589,-0.004381,0.000348
0,-0.908498,0.871485,9.810802,-0.012623,0.001057,0.00132
0,-0.961744,0.937908,9.785123,-0.00426,0.004518,0.00427
0,-0.921592,0.890321,9.768917,0.00948,0.000797,0.017126
0,-0.914562,0.905773,9.745637,0.019651,-0.001361,0.015119
