 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,-1.710567,1.327729,9.989766,-0.243596,-0.209173,0.787436
0,-1.594822,1.311987,10.054469,-0.216843,-0.198807,0.811588
0,-1.563715,1.297443,10.044297,-0.195352,-0.199013,0.831485
0,-1.448181,1.334072,9.962815,-0.169855,-0.194162,0.844875
0,-1.422343,1.313115,9.846964,-0.147715,-0.185263,0.840801
0,-1.366356,1.308835,9.756863,-0.136483,-0.183731,0.833492
0,-1.311428,1.330588,9.725791,-0.138274,-0.183324,0.824172
0,-1.265116,1.2707,9.761969,-0.144732,-0.180815,0.818331
0,-1.209841,1.233181,9.787528,-0.142058,-0.178432,0.807918
0,-1.154922,1.218269,9.828391,-0.126081,-0.159334,0.789386
0,-1.151654,1.184053,9.807744,-0.106278,-0.136538,0.778658
0,-1.090609,1.191967,9.793449,-0.092407,-0.123471,0.768826
0,-0.96374,1.157177,9.756443,-0.08847,-0.111831,0.758931
0,-0.915381,1.16658,9.811028,-0.081856,-0.102242,0.732138
0,-0.869438,1.112177,9.834638,-0.076967,-0.085803,0.696495
0,-0.882407,1.061054,9.839575,-0.075874,-0.069759,0.660601
0,-0.92583,0.945592,9.89219,-0.072113,-0.061324,0.637313
0,-0.884223,0.878025,10.003271,-0.063436,-0.053493,0.634453
0,-0.858361,0.865718,10.066553,-0.039552,-0.043545,0.637989
0,-0.714729,0.88435,10.110563,0.004049,-0.033864,0.644447
0,-0.551471,0.966171,10.088732,0.034694,-0.014847,0.62184
0,-0.440548,0.956747,10.063555,0.053741,-0.005292,0.588705
0,-0.416495,1.00527,9.981542,0.059153,0.012662,0.549534
0,-0.421948,0.971716,9.94858,0.064833,0.036233,0.518859
0,-0.421322,0.973456,9.81683,0.064341,0.058597,0.498598
0,-0.40114,1.005384,9.779257,0.0607,0.070836,0.482223
0,-0.381457,1.033946,9.69807,0.065376,0.073038,0.475811
0,-0.343839,1.068287,9.651529,0.071204,0.060857,0.458614
0,-0.353101,1.073502,9.589351,0.081023,0.053909,0.438928
0,-0.289718,1.072674,9.536645,0.0876,0.049409,0.42241
0,-0.292459,1.051747,9.65164,0.064198,0.042118,0.395536
0,-0.299562,1.222104,9.717431,0.042633,0.034832,0.38713
0,-0.296209,1.2649,9.643727,0.068996,0.058171,0.393363
0,-0.316467,1.287338,9.5624,0.102399,0.05175,0.378203
0,-0.297331,1.420671,9.5338,0.109172,0.02628,0.346508
0,-0.318271,1.48329,9.449027,0.095335,0.004854,0.319473
0,-0.321865,1.492834,9.429922,0.089762,0.006234,0.285443
0,-0.395835,1.494686,9.446237,0.074702,0.011066,0.25473
0,-0.401511,1.511611,9.558218,0.052645,0.007368,0.234971
0,-0.407213,1.523241,9.626943,0.044712,0.009664,0.217829
0,-0.387826,1.538904,9.704173,0.053457,0.01647,0.19775
0,-0.397493,1.567468,9.727466,0.065252,0.018163,0.17347
0,-0.369938,1.580022,9.734676,0.064733,0.00783,0.147756
0,-0.375007,1.574502,9.804642,0.070388,0.008937,0.118679
0,-0.450725,1.629623,9.746187,0.081401,0.020254,0.087754
0,-0.497515,1.571047,9.688818,0.088547,0.034508,0.067634
0,-0.627362,1.539651,9.602387,0.080621,0.024798,0.058747
0,-0.669548,1.520411,9.559345,0.060637,0.015286,0.06276
0,-0.681291,1.54837,9.582511,0.051538,0.017636,0.067283
0,-0.727474,1.493686,9.613066,0.051823,0.012621,0.067509
0,-0.720405,1.442754,9.617389,0.055249,-0.000994,0.068761
0,-0.692109,1.454905,9.624852,0.074227,-0.014427,0.082683
0,-0.643036,1.454326,9.66869,0.078916,-0.023228,0.079583
0,-0.64952,1.481038,9.64828,0.07607,-0.02378,0.07274
0,-0.624357,1.452739,9.642005,0.069471,-0.01464,0.062426
0,-0.586993,1.45917,9.57978,0.06602,-0.008068,0.049007
0,-0.652378,1.435249,9.528875,0.060235,-0.008848,0.040361
0,-0.619891,1.403023,9.496817,0.054015,-0.017387,0.028523
0,-0.597764,1.389869,9.489321,0.030176,-0.019974,0.023011
0,-0.577784,1.397839,9.523737,0.012706,-0.019726,0.018333
0,-0.560642,1.418947,9.512982,-0.00109,-0.005363,0.015685
0,-0.56417,1.453062,9.465742,-0.004343,0.001605,0.008478
0,-0.561864,1.432941,9.467798,-0.009097,-0.00587,-0.007541
0,-0.605759,1.525792,9.476225,-0.020865,-0.016978,-0.01664
0,-0.572126,1.540507,9.413613,-0.015432,-0.001721,-0.017614
0,-0.63215,1.611836,9.433005,-0.032992,-0.013604,-0.035355
0,-0.637195,1.665654,9.428107,-0.032649,-0.01892,-0.040142
0,-0.68357,1.691996,9.381901,-0.020048,-0.0149,-0.044641
0,-0.699592,1.763419,9.357716,-0.0278,-0.02136,-0.062531
0,-0.680916,1.759396,9.349921,-0.048418,-0.026856,-0.076165
0,-0.682214,1.783512,9.480011,-0.07083,-0.024335,-0.101183
0,-0.756025,1.736019,9.590645,-0.082823,-0.021604,-0.129953
0,-0.897577,1.652088,9.607948,-0.065399,-0.01773,-0.140634
0,-1.01308,1.574067,9.633173,-0.039465,-0.016996,-0.126728
0,-1.092908,1.572776,9.563422,-0.02135,-0.027163,-0.100237
0,-1.085441,1.591185,9.579642,-0.018306,-0.018922,-0.070002
0,-1.09164,1.645448,9.574966,-0.028529,-0.013727,-0.059069
0,-1.061501,1.605426,9.58781,-0.046406,0.001888,-0.057003
0,-1.072122,1.60393,9.658414,-0.054612,0.010226,-0.058063
0,-1.106403,1.578762,9.722387,-0.05234,0.001667,-0.05558
0,-1.073893,1.522489,9.780505,-0.037045,-0.011224,-0.05217
0,-1.03616,1.505282,9.808766,-0.025357,-0.015012,-0.040889
0,-1.007346,1.487075,9.81942,-0.014172,-0.002066,-0.022927
