 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,-1.145921,3.694993,9.235541,0.126304,0.060551,-0.010097
0,-1.182454,3.671998,9.165681,0.1043,0.007173,0.010961
0,-1.107846,3.604943,9.067391,0.079908,-0.029332,0.016397
0,-1.073567,3.531272,9.025269,0.069032,-0.054463,0.020676
0,-1.124919,3.567887,9.054821,0.057791,-0.069361,0.013685
0,-1.137554,3.559279,9.029822,0.035857,-0.048005,0.001592
0,-1.05907,3.465895,8.991672,-0.010477,-0.021718,-0.013647
0,-1.010794,3.424874,9.007757,-0.064049,-0.005119,-0.029035
0,-1.035397,3.513595,9.021157,-0.096764,-0.003261,-0.035089
0,-0.998443,3.433871,9.098652,-0.098219,-0.008269,-0.035907
0,-0.977356,3.381855,9.109139,-0.067882,-0.009945,-0.041215
0,-0.994239,3.401576,9.045262,-0.04004,-0.003165,-0.025838
0,-1.016031,3.35123,9.108331,-0.019402,-0.012998,-0.00407
0,-1.032712,3.336064,9.085336,-0.002794,-0.036079,0.010907
0,-1.053045,3.33904,9.12116,0.021511,-0.043251,0.000948
0,-1.021753,3.387418,9.200718,0.044066,-0.04472,-0.01045
0,-1.069657,3.414644,9.214202,0.074194,-0.047859,-0.016932
0,-1.038085,3.375493,9.200785,0.127237,-0.0264,-0.023173
0,-1.080641,3.443137,9.151513,0.145327,0.00332,-0.018347
0,-1.119565,3.477844,9.213968,0.132492,0.007323,-0.004862
0,-1.219287,3.644383,9.18374,0.099999,0.000352,0.008184
0,-1.154462,3.591712,9.26077,0.062513,-0.004949,0.006216
0,-1.024277,3.522427,9.162285,0.045465,0.01509,-0.011126
0,-1.036588,3.519069,9.090863,0.022697,0.041402,-0.018991
0,-1.10434,3.557681,9.022363,-0.004747,0.037047,-0.01186
0,-1.121693,3.556608,8.96984,-0.038629,0.003024,-0.002448
0,-1.036875,3.519831,8.904817,-0.058269,-0.017761,-0.005148
0,-0.960489,3.482409,8.929349,-0.061303,-0.031682,-0.006131
0,-0.980724,3.534247,8.86922,-0.05612,-0.051033,-0.014772
0,-1.006864,3.570963,8.954081,-0.042584,-0.069032,-0.022854
0,-1.047603,3.514422,9.011492,-0.031082,-0.075742,-0.02407
0,-0.963435,3.431649,9.061282,-0.027501,-0.066553,-0.026106
0,-0.922229,3.377259,9.08007,-0.022066,-0.049392,-0.025059
0,-0.927521,3.432291,9.07139,-0.006725,-0.046081,-0.023069
0,-0.936577,3.410302,9.031609,0.021208,-0.044509,-0.014891
0,-0.939958,3.415681,9.003756,0.063002,-0.041277,-0.016889
0,-0.934212,3.560575,9.047383,0.102415,-0.042862,-0.005231
0,-1.072307,3.65628,9.130236,0.097912,-0.064339,0.016238
0,-1.036301,3.58357,9.203724,0.070454,-0.085901,0.017167
0,-0.949906,3.567339,9.150645,0.038614,-0.060108,0.012531
0,-0.959009,3.579105,9.140029,0.004178,-0.018499,0.001702
0,-1.062241,3.618722,9.056477,-0.030463,0.013605,-0.010154
0,-1.089742,3.639569,8.965506,-0.063335,0.025751,-0.017968
0,-1.050717,3.571357,8.969173,-0.084109,0.015087,-0.018623
0,-1.023198,3.606636,9.053031,-0.093585,-0.030376,0.00185
0,-1.097937,3.699151,9.113122,-0.091999,-0.072178,0.02579
0,-1.062169,3.664521,9.210325,-0.052908,-0.099812,0.025835
0,-0.904108,3.568931,9.223822,0.006568,-0.050097,0.009198
0,-0.908295,3.611859,9.269369,0.037043,0.01569,0.006506
0,-1.032479,3.714809,9.263068,0.031793,0.021362,0.01356
0,-1.039284,3.686926,9.205503,0.019233,-0.016845,0.023904
0,-0.9548,3.619209,9.178998,0.033444,-0.03103,0.023306
0,-0.931366,3.69629,9.101384,0.073316,-0.017184,0.03219
0,-0.972016,3.694775,8.994497,0.101836,0.001953,0.034602
0,-0.980176,3.611221,8.989543,0.100198,0.017773,0.03003
0,-1.016336,3.608621,8.908958,0.074722,0.020592,0.028493
0,-1.035025,3.672352,8.985469,0.027411,-0.004413,0.018428
0,-1.048116,3.73866,8.991756,-0.015515,-0.03394,0.006263
0,-0.986935,3.577894,9.073852,-0.047682,-0.047325,-0.000741
0,-0.986843,3.555879,9.106526,-0.064805,-0.033374,0.000487
0,-1.032716,3.553605,9.065854,-0.052767,0.000576,0.002747
0,-1.048446,3.494281,9.113534,-0.028209,0.015596,0.004861
0,-1.041958,3.460401,9.110566,0.005713,0.017029,0.015791
0,-0.981438,3.386151,9.103187,0.04881,0.029235,0.036472
0,-1.024475,3.485975,9.129306,0.080184,0.024404,0.059984
0,-1.077437,3.508887,9.098501,0.078135,0.010701,0.076722
0,-1.003994,3.382401,9.100025,0.049615,0.011216,0.078861
0,-0.926047,3.363104,9.046875,0.004647,0.029303,0.073652
0,-0.977011,3.45571,9.049223,-0.022953,0.050948,0.068137
0,-0.979345,3.541123,8.980512,-0.03949,0.043542,0.0707
0,-0.900707,3.434538,8.926607,-0.02351,0.037898,0.069063
